Data,Module,9/25/23,9/26/23,9/27/23,9/28/23,9/29/23,9/30/23,10/1/23,10/2/23,10/3/23,10/4/23,10/5/23,10/6/23,10/7/23,10/8/23,10/9/23,10/10/23,10/11/23,10/12/23,10/13/23,10/14/23,10/15/23,10/16/23,10/17/23,10/18/23,10/19/23,10/20/23,10/21/23,10/22/23,10/23/23,10/24/23,10/25/23,10/26/23,10/27/23,10/28/23,10/29/23,10/30/23,10/31/23,11/1/23,11/2/23,11/3/23,11/4/23,11/5/23,11/6/23,11/7/23,11/8/23,11/9/23,11/10/23,11/11/23,11/12/23,11/13/23,11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,Total,Color,Status,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL20,32550 & 32560,,,,,,,,45250,45250,45250,45250,,,45250,45250 & 45235,45235,45235,45235,,,45235,45235,45235,45235,45235,,,45235,45235,45235 & 45385,45385,,,,45385,45385,45385,45385,,,,,,,,,45250,,45250,45250,45250,45250,45250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL21,TH7539,TH7539,TH7539 & TH7539 & TH7539,,,,,TH7539,TH7539,TH7539,TH7539 & TH9881,TH9881 & TH7539,,,TH7539,TH7539,TH1790,41930,41930,,,41930,41930,82840,82840,82840,,,82840,82840,82840,82840 & 82835,,,,82835,82835,82835,82835,82835,82835 & 41930,,41930,41930,41930,41930 & TH7539,TH7539,TH7539,,TH7539,TH7539,TH7539,TH7539,TH7539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL22,TH7539,TH7539,TH7539,,,,,TH7539,TH7539,TH7539,TH7539,TH7539,,,TH7539,TH7539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL23,PF7453 & PF7453,PF7453,PF0051 & PF0051,,,,,PF0051 & PF7453,PF7453 & PF7453,PF7453,,,,,TF7390,TF7390,,TH2525,TH2525 & DH2568,,,DH2568,DJ2492,DJ2492,40505,40505,,,,,40515,40515,,,,40515,40515,,,,,,,,40235,40235,40235,40235,,40515,40515,40515,40515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL25,X000007664,X000007664,X000007664,,,,,44595,44595,44595,44595 & 44575,44575,,,44575 & 44590,44590,44590 & 44585,44585,44585 & 44550,,,44550,44550 & 44555,44555 & 44580,44580,44580 & 44590,,,44590 & 44595,44595,44595 & 44585,44585,,,,44585 & 44600,44600,44600,44600 & 44605,44605,44605 & 23941,,23941,23941,23941 & 23936,23936,23936,23936,,23936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sub Total,1,0,1,0,0,0,0,4,1,0,2,2,0,0,3,2,2,3,3,0,0,0,2,2,2,1,0,0,1,1,4,2,0,0,0,1,1,1,1,0,3,0,0,1,2,1,0,1,0,1,0,1,0,0,0,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSM 03,AL31,X000007664,X000007664,X000007664,,,,,X000007664,X000007664,X000007664,40235,40235,,,40235,40235,40235 & 40250,40250,40250,,,40250,40250,X000007665,X000007665,X000007665,,,X000007665,X000007665,X000007665,X000007665,,,,X000007665,X000007665,X000007665,X000007665,X000007665,X000007665,,X000007665,X000007665,X000007665 & X000007994,X000007994,X000007994,X000007994,,X000007994,X000007994,X000007994,X000007994,X000007994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL34,DH7330,DH7330,DH7330,DH7330 & X000007839,,X000007839,,DH7330,DH7330,DH7330,DH7330,DH7330,DH7330,,DH7330,DH7330,DH7330,DH7330,DH7330,DH7330,,DH7330,DH7330,DH7330,DH7330,DH7330,DH7330,,DH7330,DH7330,DH7330,DH7330,,,,DH7330,,PF0965,PF0965 & TF7390,TF7390,TF7390,,TF7390,TF7390 & TF0043 & DH7330,DH7330,DH7330,DH7330,DH7330,,DH7330,DH7330,DH7330,DH7330,DH7330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sub Total,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSM 04,AL30,DH7362,DH7362,DH7362,,,,,DH7362,DH7362,DH7362,DH7362 & DH9884,DH9884,,,DH9884,DH9884 & DH7362,DH7362,DH7362,DH7362,,,DH7362,DH7362,DH7362,DH7362,DH7362,,,DH7362,DH7362,DH7362,DH7362,,,,DH7362,DH7362,DH7362,DH7362,DH7362,DH7362,,DH7362,DH7362,DH7362,DH7362,DH7362,DH7362,,DH7362,DH7362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL32,X000007664,X000007664,X000007664,,,,,X000007664,X000007664,X000007664,,,,,,,,,,,,X000007664,X000007664,X000007664,X000007664,X000007664,,,X000007664,X000007664,X000007664,X000007664,,,,X000007664,X000007664,X000007664,X000007664,X000007664,X000007664,,X000007664,X000007664,X000007664,X000007664,X000007664,X000007664,,X000007664,X000007664,X000007664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sub Total,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
